"Ticker","Company Name","2015","2014","2013","2012","2011","2010","2009","2008"
"CFN","Carefusion","N/A","12,129.1","8,517.5","6,210.4","5,679.1","5,713.1","5,552.2","N/A"
"CHD","Church & Dwight Co","11,129.7","10,509.5","9,210.6","7,434.5","6,511.1","4,914.6","4,264.7","3,932.5"
"CHK","Chesapeake Energy","2,992.8","12,981.4","18,026.1","11,041.0","14,696.6","16,945.9","16,761.8","9,820.0"
"CHRW","C. H. Robinson Worldwide","8,914.9","10,968.2","8,764.0","10,199.1","11,404.9","13,315.4","9,813.7","9,379.1"
"CI","Cigna Corp.","37,694.6","26,682.1","24,103.0","15,280.4","11,992.4","9,967.1","9,673.0","4,567.0"
"CIEN","Ciena Corp.","N/A","2,076.5","2,481.7","1,579.5","1,179.0","1,980.0","997.7","606.2"
"CINF","Cincinnati Financial","9,695.1","8,484.6","8,536.3","6,383.1","4,934.5","5,133.8","4,250.9","4,709.3"
"CIT","CIT Group Inc.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1,713.4"
"CL","Colgate-Palmolive","59,752.9","62,735.4","59,989.7","48,910.5","44,348.9","39,771.1","40,595.7","34,366.8"
"CLF","Cliffs Natural Resources","N/A","1,094.2","4,013.4","5,496.1","8,855.1","10,567.0","6,036.5","2,907.0"
"CLX","The Clorox Company","16,372.6","13,648.3","12,045.5","9,581.7","8,632.4","8,708.0","8,554.6","7,724.0"
"CMA","Comerica Inc.","7,392.8","8,385.2","8,666.7","5,712.3","5,091.2","7,456.8","4,470.4","2,987.2"
"CMCSA","Comcast Class A Comm.","137,489.8","150,547.6","136,431.0","98,611.7","64,607.1","61,000.7","49,274.8","48,625.9"
"CME","CME Group Inc.","30,643.9","29,738.1","26,194.3","16,814.1","16,114.1","21,509.0","22,346.0","13,822.7"
"CMG","Chipotle Mexican Grill","14,965.6","21,238.3","16,533.8","9,248.9","10,555.1","6,608.2","2,775.5","1,994.9"
"CMI","Cummins Inc.","15,632.4","26,109.2","26,135.8","20,402.3","16,741.4","21,529.0","9,094.0","5,244.4"
"CMS","CMS Energy","10,025.9","9,562.6","7,124.5","6,438.1","5,610.5","4,643.1","3,568.9","2,288.9"
"CNP","CenterPoint Energy","7,899.6","10,074.9","9,944.2","8,239.0","8,558.3","6,681.0","5,673.4","4,366.5"
"CNX","Consol Energy Inc.","1,809.5","7,785.3","8,716.7","7,321.8","8,333.0","11,023.1","9,018.1","5,160.1"
"COF","Capital One Financial","38,403.0","45,682.4","43,872.6","33,727.3","19,451.2","19,450.5","17,451.2","12,494.4"
"COG","Cabot Oil & Gas","7,321.4","12,229.6","16,139.5","10,446.6","7,917.0","3,936.7","4,518.3","2,687.3"
"COH","Coach Inc.","9,083.2","10,355.3","15,579.0","15,577.8","17,550.0","16,358.3","11,469.8","6,667.3"
"COL","Rockwell Collins","12,119.5","11,193.6","10,001.4","7,957.7","8,122.8","9,012.8","8,708.1","6,180.1"
"COP","ConocoPhillips","57,645.4","85,037.2","86,612.6","70,748.8","93,686.8","97,435.1","75,903.1","76,673.3"
"COST","Costco Co.","70,641.2","62,440.7","52,335.7","43,010.3","36,238.3","31,521.5","25,995.3","22,745.3"
"COV","Covidien","N/A","46,225.2","30,833.9","27,263.0","21,692.9","22,605.4","23,899.5","18,234.6"
"CPB","Campbell Soup","16,292.1","13,728.0","13,503.4","10,920.6","10,537.1","11,224.3","11,458.2","10,533.5"
"CPGX","Columbia Pipeline Group Inc.","7,782.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CPWR","Compuware","N/A","N/A","2,458.8","2,317.5","1,809.6","2,540.8","1,626.6","1,632.1"
"CRM","Salesforce.com","52,057.6","38,586.8","33,673.8","24,611.0","13,903.8","17,545.6","9,380.0","3,932.4"
"CSC","Computer Sciences Corp.","N/A","8,749.6","8,134.5","6,014.1","3,678.3","7,662.3","8,856.7","5,323.7"
"CSCO","Cisco Systems","137,840.9","142,260.0","119,924.6","104,326.7","97,195.6","112,130.1","137,716.9","95,437.9"
"CSRA","CSRA Inc","4,918.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CSX","CSX Corp.","25,299.8","35,925.3","29,024.9","20,134.2","22,095.2","23,927.8","19,078.9","12,680.4"
"CTAS","Cintas Corp.","9,829.8","9,199.7","7,139.9","5,040.1","4,516.0","4,062.6","3,985.3","3,549.3"
"CTL","CenturyLink Inc.","13,812.9","22,501.9","18,588.8","24,475.7","23,008.7","14,079.4","10,833.6","2,740.6"
"CTSH","Cognizant Technology Sol.","36,496.3","32,090.9","30,684.2","22,288.1","19,492.7","22,275.8","13,473.5","5,267.6"
"CTX","Centex Corp.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1,324.0"
"CTXS","Citrix Systems","11,636.8","10,257.5","11,593.0","12,227.8","11,282.6","12,826.2","7,598.4","4,243.9"
"CVC","Cablevision Systems Corp.","7,100.4","5,662.7","4,800.5","3,954.6","3,900.7","9,989.7","7,798.2","5,003.7"
"CVG","Convergys Corp.","N/A","2,024.8","2,121.8","1,737.8","1,473.7","1,608.1","1,323.3","782.7"
"CVH","Coventry Health Care","N/A","N/A","N/A","6,032.9","4,287.4","3,944.9","3,594.7","2,206.5"
"CVS","CVS Health Corp.","108,262.4","109,793.4","84,452.6","59,518.9","52,932.4","47,391.5","44,804.1","41,301.2"
"CVX","Chevron Corp.","169,308.0","212,067.8","240,223.5","211,649.6","211,893.9","183,634.1","154,462.6","150,291.6"
"D","Dominion Resources","40,268.4","44,986.5","37,584.9","29,836.8","30,255.6","24,820.3","23,313.1","20,894.7"
"DAL","Delta Air Lines","39,866.4","40,594.4","23,389.1","10,106.2","6,838.0","10,517.5","8,921.4","7,966.3"
"DD","DuPont","58,368.7","66,914.1","60,226.3","41,967.1","42,397.9","45,755.4","30,431.4","22,830.1"
"DDR","DDR Corp.","N/A","6,605.1","5,507.8","4,921.3","3,362.3","3,600.8","1,862.1","626.7"
"DDS","Dillard's Inc.","N/A","5,156.4","4,272.2","4,001.6","2,219.0","2,275.5","1,362.2","291.6"
"DE","Deere & Co.","25,029.2","30,459.9","34,019.0","33,519.7","31,259.1","35,106.1","22,860.5","16,182.8"
"DELL","Dell, Inc.","N/A","N/A","N/A","17,615.9","26,282.9","26,155.4","28,082.7","19,911.0"
"DF","Dean Foods","N/A","1,823.3","1,630.1","3,063.7","2,058.0","1,611.1","3,262.6","2,768.0"
"DFS","Discover Financial Services","22,921.7","29,417.3","26,422.1","19,192.9","12,691.9","10,093.0","7,986.4","4,574.3"
"DG","Dollar General","20,909.5","21,453.7","19,124.9","14,420.5","13,909.0","10,474.0","7,639.3","N/A"
"DGX","Quest Diagnostics","10,197.9","9,656.6","7,709.8","9,225.9","9,139.8","9,213.6","11,067.2","9,882.3"
"DHI","D. R. Horton","11,837.4","9,239.5","7,220.4","6,354.6","3,994.1","3,809.1","3,455.3","2,238.8"
"DHR","Danaher Corp.","63,649.3","60,365.6","53,893.3","38,431.3","32,350.8","30,960.5","24,269.7","18,023.5"
